addr          name                           size  callers
0050:1b74     FUN_0050_1b74                    58  FUN_0050_2c70
0050:1ba6     thunk_FUN_0050_1bb2               4  FUN_0050_1847,FUN_0050_1954
0050:1bb2     FUN_0050_1bb2                     4  thunk_FUN_0050_1bb2
0050:1bb6     FUN_0050_1bb6                    49  FUN_0050_1bb2
0050:1be8     FUN_0050_1be8                    85  FUN_0050_0080,FUN_0050_2c70
0050:1c62     FUN_0050_1c62                   129  FUN_0050_2c3f,FUN_0050_2c70
0050:1ce4     FUN_0050_1ce4                    77  FUN_0050_1c62
0050:1d31     FUN_0050_1d31                    40  FUN_0050_1ce4
0050:1d59     FUN_0050_1d59                    15  FUN_0050_1c62
0050:1f85     FUN_0050_1f85                   165  FUN_0050_202b
0050:202b     FUN_0050_202b                    57  FUN_0050_9ebc,FUN_0050_e9d7
0050:21ec     FUN_0050_21ec                   122  FUN_0050_1954
0050:23a8     FUN_0050_23a8                    16  FUN_0050_16f0,FUN_0050_23b8
0050:23b8     FUN_0050_23b8                    88  FUN_0050_3fbd
0050:2410     FUN_0050_2410                    41  FUN_0050_23b8
0050:2440     FUN_0050_2440                    86  FUN_0050_24bd,FUN_0050_261c
0050:2496     FUN_0050_2496                    15  FUN_0050_24bd
0050:24a5     FUN_0050_24a5                    24  FUN_0050_24bd
0050:24bd     FUN_0050_24bd                   107  FUN_0050_2787,FUN_0050_2db8,FUN_0050_2f43,FUN_0050_3683
0050:252b     FUN_0050_252b                    11  
0050:2536     FUN_0050_2536                    76  FUN_0050_24bd
0050:2582     FUN_0050_2582                    76  FUN_0050_24bd
0050:25ce     FUN_0050_25ce                    59  FUN_0050_0610
0050:2609     FUN_0050_2609                    19  FUN_0050_25ce,FUN_0050_2609
0050:261c     FUN_0050_261c                    26  FUN_0050_25ce
0050:2636     thunk_FUN_0050_2639               2  FUN_0050_25ce,FUN_0050_2609
0050:2639     FUN_0050_2639                    33  thunk_FUN_0050_2639
0050:267b     FUN_0050_267b                    47  FUN_0050_252b
0050:26aa     FUN_0050_26aa                    50  FUN_0050_0080
0050:26e0     kbd_isr_int09                    95  
0050:2740     sel_poll                         71  FUN_0050_0564,FUN_0050_24bd,FUN_0050_267b,sel_poll
0050:2787     FUN_0050_2787                    12  FUN_0050_2787,FUN_0050_2db8,FUN_0050_3593,FUN_0050_4bb5
0050:2806     FUN_0050_2806                    22  FUN_0050_0860,sel_poll
0050:2820     load_resource                    36  FUN_0050_044a,FUN_0050_049e,FUN_0050_04e0,FUN_0050_2af9,FUN_0050_2c70,FUN_0050_30b2,FUN_0050_3760,FUN_0050_3939,FUN_0050_3bf7,FUN_0050_4116
0050:2844     FUN_0050_2844                   122  FUN_0050_5327,load_resource
0050:28be     disk_read_sector                 65  
0050:2900     FUN_0050_2900                    12  FUN_0050_52cc,FUN_0050_5317,FUN_0050_5358
0050:290c     FUN_0050_290c                   189  FUN_0050_2900
0050:29c9     FUN_0050_29c9                    31  disk_read_sector
0050:29e8     FUN_0050_29e8                     5  FUN_0050_290c
0050:29ed     FUN_0050_29ed                    23  FUN_0050_c4e2,FUN_0050_c549
0050:2a05     FUN_0050_2a05                    59  FUN_0050_36e5
0050:2a40     FUN_0050_2a40                    58  FUN_0050_4660,FUN_0050_5292
0050:2af9     FUN_0050_2af9                    87  FUN_0050_2a05,FUN_0050_2a40
0050:2b9a     FUN_0050_2b9a                    27  FUN_0050_049e,FUN_0050_2c0f
0050:2bb5     FUN_0050_2bb5                    37  FUN_0050_0080,FUN_0050_290c,disk_read_sector
0050:2be0     FUN_0050_2be0                    19  FUN_0050_2db8,FUN_0050_2f43,FUN_0050_357e
0050:2c0f     FUN_0050_2c0f                    44  thunk_FUN_0050_2c0f
0050:2c3d     FUN_0050_2c3d                     1  thunk_FUN_0050_2c3d
0050:2c3e     FUN_0050_2c3e                     1  thunk_FUN_0050_2c3e
0050:2c3f     FUN_0050_2c3f                    49  FUN_0050_2e30,thunk_FUN_0050_2c3f
0050:2c70     FUN_0050_2c70                   328  FUN_0050_04e0,thunk_FUN_0050_2c70
0050:2db8     FUN_0050_2db8                    34  FUN_0050_2e30,thunk_FUN_0050_2db8
0050:2dda     FUN_0050_2dda                    47  FUN_0050_2db8,FUN_0050_5878
0050:2e09     FUN_0050_2e09                    21  FUN_0050_2af9,FUN_0050_2dda,FUN_0050_3760,FUN_0050_3907
0050:2e1e     FUN_0050_2e1e                     8  FUN_0050_2af9,FUN_0050_2bb5,FUN_0050_2dda,thunk_FUN_0050_2e1e
0050:2e27     FUN_0050_2e27                     8  thunk_FUN_0050_2e27
0050:2e30     FUN_0050_2e30                   257  FUN_0050_2e1e,FUN_0050_2e27
0050:2f33     FUN_0050_2f33                    16  FUN_0050_2e30,FUN_0050_360c
0050:2f43     FUN_0050_2f43                   101  FUN_0050_2f43,FUN_0050_4bb5
0050:2fa9     FUN_0050_2fa9                    22  FUN_0050_2e30
0050:2fbf     FUN_0050_2fbf                    25  FUN_0050_2e30
0050:2fd8     FUN_0050_2fd8                   204  FUN_0050_2e30,FUN_0050_317b
0050:30a5     FUN_0050_30a5                    13  FUN_0050_a2d4,FUN_0050_a4ae,FUN_0050_a557,FUN_0050_a59f,FUN_0050_a69f,FUN_0050_ab96,FUN_0050_adce,FUN_0050_ae17,FUN_0050_b973,FUN_0050_bda4
0050:30b2     FUN_0050_30b2                   165  FUN_0050_4604
0050:3159     FUN_0050_3159                    34  FUN_0050_30b2,FUN_0050_32cc
0050:317b     FUN_0050_317b                    57  FUN_0050_3760
0050:31f7     FUN_0050_31f7                    59  FUN_0050_3939,FUN_0050_4116,FUN_0050_46b3,FUN_0050_47cd,FUN_0050_587e
0050:322f     FUN_0050_322f                     8  FUN_0050_a892
0050:323a     FUN_0050_323a                     4  FUN_0050_b5ed
0050:323e     FUN_0050_323e                    75  FUN_0050_53b5
0050:328a     FUN_0050_328a                    16  FUN_0050_323e
0050:329a     FUN_0050_329a                    10  FUN_0050_323e
0050:32a4     FUN_0050_32a4                    17  FUN_0050_30b2
0050:32b5     FUN_0050_32b5                    23  FUN_0050_30b2,FUN_0050_32cc,FUN_0050_451b
