addr          name                           size  callers
0050:a69f     FUN_0050_a69f                    22  FUN_0050_4116,FUN_0050_46b3,FUN_0050_4bb5
0050:a818     FUN_0050_a818                    24  FUN_0050_951b,FUN_0050_9ebc
0050:a831     FUN_0050_a831                    15  FUN_0050_ab30
0050:a840     FUN_0050_a840                    82  FUN_0050_832a,FUN_0050_8a9c,FUN_0050_980a,FUN_0050_a818,FUN_0050_a9f4,FUN_0050_b32b,FUN_0050_b3fa
0050:a892     FUN_0050_a892                    31  FUN_0050_8037,FUN_0050_9118,FUN_0050_b15a
0050:a8b1     FUN_0050_a8b1                     8  FUN_0050_8037,FUN_0050_810f,FUN_0050_832a,FUN_0050_88b1,FUN_0050_8915,FUN_0050_8a42,FUN_0050_8a9c,FUN_0050_90be,FUN_0050_91fa,FUN_0050_951b
0050:a8ba     FUN_0050_a8ba                    30  FUN_0050_91fa,FUN_0050_a892,FUN_0050_b201,FUN_0050_b32b
0050:a8d8     FUN_0050_a8d8                    14  FUN_0050_8915
0050:a8f6     FUN_0050_a8f6                    14  FUN_0050_8831
0050:a905     FUN_0050_a905                    12  FUN_0050_8915
0050:a911     FUN_0050_a911                     4  FUN_0050_832a,FUN_0050_a8d8,FUN_0050_a8f6
0050:a915     FUN_0050_a915                    35  FUN_0050_86e8,FUN_0050_989d,FUN_0050_9913,FUN_0050_ae17
0050:a9e0     FUN_0050_a9e0                    11  FUN_0050_4612
0050:a9f4     FUN_0050_a9f4                   154  FUN_0050_45ee
0050:aa90     FUN_0050_aa90                   159  FUN_0050_3939,FUN_0050_a9f4
0050:ab30     FUN_0050_ab30                    98  FUN_0050_3760,FUN_0050_3fa5
0050:ab96     FUN_0050_ab96                   567  FUN_0050_951b,FUN_0050_ab30,FUN_0050_b15a
0050:adce     FUN_0050_adce                    40  FUN_0050_ab96
0050:adf6     FUN_0050_adf6                    32  FUN_0050_832a,FUN_0050_8e17,FUN_0050_b222
0050:ae17     FUN_0050_ae17                   528  FUN_0050_951b
0050:b029     FUN_0050_b029                   102  FUN_0050_832a,FUN_0050_951b,FUN_0050_aa90,FUN_0050_ab30,FUN_0050_ae17
0050:b09d     FUN_0050_b09d                     9  FUN_0050_8831
0050:b0a6     FUN_0050_b0a6                    24  FUN_0050_91fa
0050:b0be     FUN_0050_b0be                    14  FUN_0050_b3fa
0050:b0cc     FUN_0050_b0cc                    53  FUN_0050_906f,FUN_0050_99ff
0050:b12b     FUN_0050_b12b                    30  FUN_0050_832a,FUN_0050_99ff
0050:b15a     FUN_0050_b15a                   118  FUN_0050_810f,FUN_0050_951b,FUN_0050_b15a
0050:b1d0     FUN_0050_b1d0                    42  FUN_0050_951b,FUN_0050_b15a
0050:b1fa     FUN_0050_b1fa                     7  FUN_0050_832a,FUN_0050_8915,FUN_0050_8cb9,FUN_0050_8df6,FUN_0050_8e17,FUN_0050_906f,FUN_0050_951b,FUN_0050_9913,FUN_0050_99ff,FUN_0050_9ebc
0050:b201     FUN_0050_b201                     7  FUN_0050_9913,FUN_0050_ae17
0050:b208     FUN_0050_b208                     9  FUN_0050_8a9c,FUN_0050_b1fa,FUN_0050_b201
0050:b211     FUN_0050_b211                     3  FUN_0050_a153,FUN_0050_a8ba
0050:b214     FUN_0050_b214                    14  FUN_0050_832a,FUN_0050_aa90,FUN_0050_b4f5
0050:b222     FUN_0050_b222                   263  0050:9bb1,FUN_0050_8037,FUN_0050_99ff,FUN_0050_a2d4
0050:b32b     FUN_0050_b32b                   167  FUN_0050_b222
0050:b3d2     FUN_0050_b3d2                    40  FUN_0050_b222
0050:b3fa     FUN_0050_b3fa                   158  FUN_0050_832a
0050:b498     FUN_0050_b498                    93  FUN_0050_b3fa,FUN_0050_b498
0050:b4f5     FUN_0050_b4f5                    19  FUN_0050_951b
0050:b51c     FUN_0050_b51c                     4  FUN_0050_832a,FUN_0050_9913,FUN_0050_9ebc,FUN_0050_a196,FUN_0050_a915,FUN_0050_ae17,FUN_0050_b15a,FUN_0050_b222
0050:b520     thunk_FUN_0050_c9e0               3  FUN_0050_8a2a,FUN_0050_9913,FUN_0050_a196,FUN_0050_ae17,FUN_0050_b32b
0050:b52d     FUN_0050_b52d                    10  FUN_0050_906f
0050:b568     FUN_0050_b568                    14  FUN_0050_91fa
0050:b585     FUN_0050_b585                    87  FUN_0050_b52d
0050:b5e9     thunk_FUN_0050_4c3f               3  FUN_0050_ba05,FUN_0050_bda4
0050:b5ec     FUN_0050_b5ec                     1  FUN_0050_b585
0050:b5ed     FUN_0050_b5ed                   783  FUN_0050_b585
0050:b903     FUN_0050_b903                   112  FUN_0050_b5ed
0050:b973     FUN_0050_b973                   145  FUN_0050_b5ed
0050:ba05     FUN_0050_ba05                    45  FUN_0050_b903
0050:ba32     FUN_0050_ba32                   609  FUN_0050_b5ed
0050:bc97     FUN_0050_bc97                    70  FUN_0050_b5ed
0050:bcdd     thunk_FUN_0050_4e1e               3  FUN_0050_b5ed,FUN_0050_ba32,FUN_0050_bc97
0050:bce0     thunk_FUN_0050_4e27               3  FUN_0050_b5ed,FUN_0050_ba05
0050:bce6     FUN_0050_bce6                     3  FUN_0050_b973
0050:bcf0     FUN_0050_bcf0                     1  FUN_0050_b5ed
0050:bcf1     FUN_0050_bcf1                     4  FUN_0050_b5ed,FUN_0050_ba05,FUN_0050_ba32,FUN_0050_bda4
0050:bcff     FUN_0050_bcff                     7  FUN_0050_b585
0050:bd13     FUN_0050_bd13                   145  FUN_0050_b5ed
0050:bda4     FUN_0050_bda4                   155  FUN_0050_bd13
0050:be40     FUN_0050_be40                   108  FUN_0050_cf30,FUN_0050_ea37,FUN_0050_f619
0050:bebc     FUN_0050_bebc                    15  FUN_0050_da30
0050:becc     FUN_0050_becc                   699  FUN_0050_be40,FUN_0050_bebc,FUN_0050_c18b
0050:c18b     FUN_0050_c18b                   134  FUN_0050_ea37
0050:c212     FUN_0050_c212                    97  FUN_0050_cf30
0050:c273     FUN_0050_c273                    97  FUN_0050_cf30
0050:c2d4     FUN_0050_c2d4                   244  FUN_0050_da30
0050:c3ca     FUN_0050_c3ca                   209  FUN_0050_da30
0050:c4a0     FUN_0050_c4a0                    14  0050:9bc9,0050:9def,FUN_0050_e9d7,FUN_0050_ea37,FUN_0050_ed2e,FUN_0050_f0a3,FUN_0050_f840
0050:c4ae     FUN_0050_c4ae                    13  FUN_0050_b0a6,FUN_0050_b0cc,FUN_0050_b214,FUN_0050_ba32,FUN_0050_cf30,FUN_0050_d3d0,FUN_0050_d906,FUN_0050_da30,FUN_0050_dcbc,FUN_0050_e9d7
0050:c4bb     FUN_0050_c4bb                    14  FUN_0050_a153,FUN_0050_b029,FUN_0050_cf30,FUN_0050_d3d0,FUN_0050_e9d7,FUN_0050_f0a3,FUN_0050_f840
0050:c4c9     FUN_0050_c4c9                     7  FUN_0050_98df,FUN_0050_d3d0,FUN_0050_d9cd,FUN_0050_e9d7,FUN_0050_ea37,FUN_0050_ed85,FUN_0050_f0a3,FUN_0050_f840
0050:c4d0     FUN_0050_c4d0                     8  FUN_0050_cf30,FUN_0050_f6f0,FUN_0050_f840
0050:c4d9     FUN_0050_c4d9                     8  FUN_0050_db67
0050:c4e2     FUN_0050_c4e2                   103  FUN_0050_c4d0,FUN_0050_c4d9
0050:c549     FUN_0050_c549                     7  FUN_0050_c4e2
0050:c550     FUN_0050_c550                     7  FUN_0050_9913,FUN_0050_c550
0050:c557     FUN_0050_c557                    34  FUN_0050_832a,FUN_0050_88ba,FUN_0050_8915,FUN_0050_91fa,FUN_0050_951b,FUN_0050_aa90,FUN_0050_b498,FUN_0050_c829,FUN_0050_cf30,FUN_0050_d335
0050:c579     FUN_0050_c579                    19  FUN_0050_ea37,FUN_0050_ed85,FUN_0050_f0a3,FUN_0050_f619,FUN_0050_f6f0,FUN_0050_f7be
0050:c58c     FUN_0050_c58c                    19  FUN_0050_ea37,FUN_0050_ed85,FUN_0050_f08e,FUN_0050_f0a3
0050:c59f     FUN_0050_c59f                   110  FUN_0050_dd10,FUN_0050_ed07
0050:c60d     FUN_0050_c60d                    67  FUN_0050_c650,FUN_0050_c6aa,FUN_0050_c755
0050:c650     FUN_0050_c650                     7  FUN_0050_de05,FUN_0050_e9d7
0050:c67f     FUN_0050_c67f                    32  FUN_0050_b029
0050:c69f     FUN_0050_c69f                     9  FUN_0050_8a9c,FUN_0050_980a,FUN_0050_b3fa,FUN_0050_b498,FUN_0050_ed07
0050:c6a8     FUN_0050_c6a8                     1  FUN_0050_a59f
0050:c6aa     FUN_0050_c6aa                   171  FUN_0050_e9d7
0050:c755     FUN_0050_c755                   168  FUN_0050_c6aa
0050:c7fd     FUN_0050_c7fd                    44  FUN_0050_c6aa
0050:c829     FUN_0050_c829                    97  FUN_0050_c7fd
0050:c88a     FUN_0050_c88a                    27  FUN_0050_c8a5,FUN_0050_e9d7,FUN_0050_ea37,FUN_0050_ed85,FUN_0050_f840
0050:c8a5     FUN_0050_c8a5                     7  FUN_0050_e9d7,FUN_0050_ea37,FUN_0050_ed85,FUN_0050_f840
0050:c8ac     FUN_0050_c8ac                   270  FUN_0050_ed85
0050:c9bb     FUN_0050_c9bb                    37  FUN_0050_b3d2,FUN_0050_ba32
0050:c9e0     FUN_0050_c9e0                    20  FUN_0050_ab96,thunk_FUN_0050_c9e0
0050:c9f4     FUN_0050_c9f4                    20  FUN_0050_a153
0050:ca08     FUN_0050_ca08                    21  FUN_0050_b585
0050:ca40     FUN_0050_ca40                    67  FUN_0050_ea37
0050:cc70     FUN_0050_cc70                     5  FUN_0050_a196
0050:cc75     FUN_0050_cc75                   401  FUN_0050_cf30
0050:ce08     thunk_FUN_0050_ce40               3  FUN_0050_47b8
0050:ce0c     FUN_0050_ce0c                    51  FUN_0050_cc75
0050:ce40     FUN_0050_ce40                   240  FUN_0050_ce0c,thunk_FUN_0050_ce40
0050:cf30     FUN_0050_cf30                   937  FUN_0050_cc75,FUN_0050_ce40
0050:d2df     FUN_0050_d2df                    43  FUN_0050_cc75,FUN_0050_cf30
0050:d30a     FUN_0050_d30a                    43  FUN_0050_cf30
0050:d335     FUN_0050_d335                   134  FUN_0050_cc75
0050:d3bb     FUN_0050_d3bb                     8  FUN_0050_ce40,FUN_0050_cf30
0050:d3d0     FUN_0050_d3d0                  1323  FUN_0050_b32b
0050:d906     FUN_0050_d906                   135  FUN_0050_d3d0,FUN_0050_d906
0050:d98f     FUN_0050_d98f                    11  FUN_0050_d3d0,FUN_0050_d906,FUN_0050_d9bc
0050:d99a     FUN_0050_d99a                    34  FUN_0050_d3d0
0050:d9bc     FUN_0050_d9bc                    17  FUN_0050_d3d0
0050:d9cd     FUN_0050_d9cd                    55  FUN_0050_d3d0
0050:da04     FUN_0050_da04                    30  FUN_0050_d3d0
0050:da30     FUN_0050_da30                   303  FUN_0050_ab96
0050:db67     FUN_0050_db67                   217  FUN_0050_da30
0050:dc40     FUN_0050_dc40                    45  FUN_0050_da30
0050:dc6d     FUN_0050_dc6d                    79  FUN_0050_da30
0050:dcbc     FUN_0050_dcbc                    28  FUN_0050_da30
0050:dcd8     FUN_0050_dcd8                    52  FUN_0050_da30
0050:dd10     FUN_0050_dd10                   240  FUN_0050_8a2a
0050:de05     FUN_0050_de05                    16  FUN_0050_dd10
0050:e9d7     FUN_0050_e9d7                  1855  FUN_0050_2c70
0050:ea37     FUN_0050_ea37                   477  FUN_0050_e9d7
0050:ec15     FUN_0050_ec15                     7  FUN_0050_e9d7,FUN_0050_ea37
0050:ec1c     FUN_0050_ec1c                     8  FUN_0050_e9d7
0050:ec24     FUN_0050_ec24                   226  FUN_0050_e9d7
0050:ed07     FUN_0050_ed07                    39  FUN_0050_e9d7
0050:ed2e     FUN_0050_ed2e                    51  FUN_0050_e9d7
0050:ed61     FUN_0050_ed61                    27  FUN_0050_e9d7
0050:ed85     FUN_0050_ed85                   770  FUN_0050_f619
0050:f08e     FUN_0050_f08e                    21  FUN_0050_357e
0050:f0a3     FUN_0050_f0a3                  1393  FUN_0050_ed85
0050:f619     FUN_0050_f619                   214  FUN_0050_1c62
0050:f6f0     FUN_0050_f6f0                   206  FUN_0050_f0a3
0050:f7be     FUN_0050_f7be                    79  FUN_0050_ed85
0050:f80d     FUN_0050_f80d                    32  FUN_0050_ed85,FUN_0050_f0a3,FUN_0050_f6f0
0050:f82d     FUN_0050_f82d                     8  FUN_0050_f0a3
0050:f835     thunk_FUN_0050_3490               5  FUN_0050_f6f0
0050:f840     FUN_0050_f840                  2442  0050:9dd5
1000:08a9     FUN_1000_08a9                     8  FUN_0050_f840
1000:08b1     FUN_1000_08b1                   168  FUN_0050_f840
1000:0959     FUN_1000_0959                    69  FUN_0050_f840
1000:0bf6     FUN_1000_0bf6                    76  FUN_0050_f840
1000:0e71     read_into_cursor                 30  FUN_1000_0ed7
1000:0e8f     read_bytes                        9  FUN_1000_0ed7,read_into_cursor
1000:0ebe     nibble_expand                    25  FUN_1000_0ed7
1000:0ed7     FUN_1000_0ed7                  1317  
1000:13fe     FUN_1000_13fe                   363  FUN_1000_0ed7,FUN_1000_1569
1000:1569     FUN_1000_1569                    37  FUN_1000_0ed7,FUN_1000_15ea
1000:158e     FUN_1000_158e                    92  
1000:15ea     FUN_1000_15ea                  1106  FUN_1000_158e
1000:1a3c     FUN_1000_1a3c                    26  FUN_1000_15ea,FUN_1000_1a56
1000:1a56     FUN_1000_1a56                   195  FUN_1000_15ea
1000:1b19     FUN_1000_1b19                   224  
1000:1bf9     decode_image_rect               212  FUN_1000_0ed7
1000:1ccf     huff_decode_sym                  83  decode_image_rect
1000:1d22     FUN_1000_1d22                   358  FUN_1000_1569
1000:1e8e     FUN_1000_1e8e                   389  FUN_1000_1569
1000:2015     FUN_1000_2015                    21  FUN_1000_2175
1000:202a     FUN_1000_202a                   193  FUN_1000_2015
1000:20eb     FUN_1000_20eb                    53  FUN_1000_2175
1000:2120     FUN_1000_2120                    82  FUN_1000_20eb
1000:2172     FUN_1000_2172                     3  FUN_1000_0ed7
1000:2175     FUN_1000_2175                    42  FUN_1000_0ed7
1000:2549     FUN_1000_2549                    34  FUN_1000_08a9
1000:35f9     FUN_1000_35f9                    33  FUN_1000_15ea
1000:3c5b     FUN_1000_3c5b                    34  FUN_0050_f840
1000:4480     FUN_1000_4480                    68  FUN_0050_3fbd
1000:462b     FUN_1000_462b                    46  FUN_0050_f840
1000:4c93     FUN_1000_4c93                     3  FUN_0050_f840
1000:505f     refill_buffer                  1234  huff_decode_sym
1000:56f7     FUN_1000_56f7                   353  FUN_0050_f840
1000:a320     FUN_1000_a320                    34  FUN_0050_b5ed
1000:c340     FUN_1000_c340                    34  FUN_0050_f840
1000:c9a0     FUN_1000_c9a0                    14  FUN_0050_f840
1000:c9ae     FUN_1000_c9ae                    19  FUN_0050_f840
1000:c9c9     FUN_1000_c9c9                    33  FUN_0050_f840
1000:ca57     FUN_1000_ca57                    34  FUN_0050_f840
1000:cd8a     FUN_1000_cd8a                    33  FUN_0050_f840
1000:cdac     FUN_1000_cdac                    34  FUN_0050_f840
1000:cf40     FUN_1000_cf40                    34  FUN_0050_f840
1000:e8b1     FUN_1000_e8b1                    11  FUN_0050_557e
2000:0c20     FUN_2000_0c20                    31  FUN_0050_0023
2000:0c2f     FUN_2000_0c2f                    12  0050:0042
2000:0c3b     FUN_2000_0c3b                  1767  FUN_0050_0058
